ind,attr,val,expectation
9610,8,LOS ANGELES,0.791
6475,3,BAPTIST HEALTH MED CTR-ARKADELPHIA,0.789
2922,4,5102 WEST CAMPBELL AVENUE,0.786
3451,16,92%,0.78
1388,3,DECATUR GENERAL HOSPITAL,0.778
8630,3,NOVATO COMMUNITY HOSPITAL,0.777
1997,16,100%,0.777
862,11,Voluntary non-profit - Private,0.777
9937,18,CA_PN-3B,0.777
5521,4,7301 ROGERS AVE,0.775
211,4,50 MEDICAL PARK EAST DRIVE,0.775
4672,13,Surgical Infection Prevention,0.775
8171,7,90262,0.774
3580,13,Surgical Infection Prevention,0.774
9292,11,Government - Hospital District or Authority,0.774
5291,5,CONWAY,0.774
172,10,Acute Care Hospitals,0.773
3117,16,87%,0.773
5425,13,Surgical Infection Prevention,0.772
5712,9,8705238911,0.772
5169,8,SAINT FRANCIS,0.772
823,2,10040,0.771
3901,17,25 patients,0.771
2105,10,Acute Care Hospitals,0.771
9257,6,CA,0.77
8840,5,LOS ANGELES,0.77
8963,6,CA,0.77
7529,7,95051,0.77
4266,4,475 SOUTH DOBSON ROAD,0.769
3667,5,LAKE HAVASU CITY,0.769
8014,11,Proprietary,0.769
9718,13,Surgical Infection Prevention,0.769
5970,8,INDEPENDENCE,0.769
3689,17,232 patients,0.769
8684,17,10 patients,0.768
1974,11,Proprietary,0.768
6538,3,ST ANTHONY-S HEALTHCARE CENTER,0.768
1300,17,36 patients,0.768
4876,10,Childrens,0.767
2537,17,2 patients,0.767
844,13,Pneumonia,0.767
2448,9,2513682500,0.767
6371,9,8705637000,0.767
8215,18,CA_HF-3,0.767
1107,5,BIoRMINGHAM,0.767
8168,5,LYNWOOD,0.766
4340,11,Proprietary,0.766
5671,4,1001 SCHNEIDER DRIVE,0.766
9225,5,LAGUNA BEACH,0.766
4751,7,86047,0.766
4205,3,WEST VALLEY HOSPITAL,0.766
5213,7,72764,0.766
9225,8,ORANGE,0.766
4919,11,Voluntary non-profit - Private,0.766
9642,13,Surgical Infection Prevention,0.766
890,11,Voluntary non-profit - Other,0.766
9906,12,No,0.766
