ind,attr,val,expectation
7051,10,Acute Care Hospitals,0.777
8713,5,PANORAMA CITY,0.777
6426,16,68%,0.777
8731,6,CA,0.776
6229,11,Government - Local,0.775
1282,11,Voluntary non-profit - Other,0.775
1499,5,TUSCALOOSA,0.775
4558,16,100%,0.774
8987,10,Acute Care Hospitals,0.772
3989,5,PHOENIX,0.771
6919,8,LOS ANGELES,0.77
6444,6,AR,0.77
36,12,Yes,0.77
5277,6,AR,0.77
1675,9,2057833800,0.77
8254,16,78%,0.769
9502,6,CA,0.769
8914,5,SAN JOSE,0.769
1573,5,BREWTON,0.769
271,11,Voluntary non-profit - Church,0.769
8241,6,CA,0.768
8270,6,CA,0.768
7388,6,CA,0.768
4191,4,5102 WEST CAMPBELL AVENUE,0.768
3998,2,30093,0.768
4205,8,MARICOPA,0.768
5673,18,AR_PN-4,0.767
8490,8,SANTA CLARA,0.767
9195,6,CA,0.767
8215,12,Yes,0.767
2411,3,SUMMIT HOSPITAL,0.767
781,8,MADISON,0.767
5291,15,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),0.767
8987,2,50167,0.767
1743,17,6 patients,0.767
2104,9,2058771000,0.767
7335,3,ANTELOPE VALLEY HOSPITAL MED CENTER,0.767
61,8,MARSHALL,0.767
9960,6,CA,0.766
8165,16,96%,0.766
941,12,No,0.766
9036,11,Voluntary non-profit - Private,0.766
7595,6,CA,0.766
1927,2,10126,0.766
5824,4,700 WEST GROVE STREET,0.766
8788,17,35 patients,0.766
9664,18,CA_PN-5C,0.766
2313,11,Government - State,0.766
1699,12,No,0.766
974,16,99%,0.766
1922,2,10125,0.766
3712,13,Surgical Infection Prevention,0.766
7365,13,Surgical Infection Prevention,0.765
9510,4,5974 PENTZ ROAD,0.765
1927,10,Acute Care Hospitals,0.765
3811,11,Government - Federal,0.765
6229,4,900 SOUTH THIRD STREET,0.765
3619,5,PARKER,0.765
3451,16,92%,0.765
974,8,COFFEE,0.765
8215,15,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),0.765
7004,7,91942,0.765
9500,4,5974 PENTZ ROAD,0.765
5946,7,72401,0.765
3146,16,81%,0.765
8761,18,CA_PN-2,0.764
3552,6,AZ,0.764
8630,4,180 ROWLAND WAY,0.764
8856,9,5302746000,0.764
6307,2,41311,0.764
2635,4,2801 DEBARR ROAD,0.764
5970,6,AR,0.764
8068,3,SHARP MEMORIAL HOSPITAL,0.764
436,16,100%,0.764
3283,17,0 patients,0.764
858,8,MARION,0.764
6514,8,ASHLEY,0.764
6229,15,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,0.764
4981,4,2710 RIFE MEDICAL LANE,0.764
6557,4,300 EAST PICKENS,0.764
2036,3,CRESTWOOD MEDICAL CENTER,0.764
8254,3,LOMPOC VALLEY MEDICAL CENTER,0.764
5614,17,10 patients,0.763
7579,9,7076511000,0.763
7470,4,350 S OAK AVE,0.763
5849,12,Yes,0.763
8671,18,CA_PN-3B,0.763
6019,9,5012197000,0.763
3047,3,ARIZONA HEART HOSPITAL,0.763
3238,3,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,0.763
2398,17,152 patients,0.763
4975,4,TWO ST VINCENT CIRCLE,0.763
7365,17,560 patients,0.763
9334,8,SAN MATEO,0.763
6429,4,880 WEST MAIN,0.763
2567,9,3346834111,0.763
9920,3,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFOR,0.763
5196,8,CRAIGHEAD,0.763
1997,13,Surgical Infection Prevention,0.763
9115,2,50179,0.762
2167,3,NORTHPORT MEDICAL CENTER,0.762
3294,6,AZ,0.762
