7230,13,Surgical Infection Prevention,0.777
5015,11,Voluntary non-profit - Other,0.777
1711,10,Acute Care Hospitals,0.777
5504,12,Yes,0.775
3444,10,Acute Care Hospitals,0.775
8274,16,100%,0.775
5912,10,Acute Care Hospitals,0.772
6229,12,No,0.772
7139,11,Government - Local,0.772
5583,5,BLYTHEVILLE,0.772
8278,6,CA,0.771
4324,13,Heart Attack,0.771
8869,12,Yes,0.77
1725,12,Yes,0.77
51,13,Heart Attack,0.77
9421,10,Acute Care Hospitals,0.769
4411,10,Acute Care Hospitals,0.769
911,10,Acute Care Hospitals,0.768
3854,13,Pneumonia,0.768
4331,12,Yes,0.768
9682,5,BURBANK,0.768
9531,7,92801,0.768
5811,11,Proprietary,0.768
9267,11,Proprietary,0.768
5981,13,Surgical Infection Prevention,0.767
6378,5,OSCEOLA,0.767
7051,5,OROVILLE,0.767
7241,11,Proprietary,0.767
8278,11,Proprietary,0.767
1092,11,Voluntary non-profit - Other,0.767
9502,6,CA,0.767
5053,10,Acute Care Hospitals,0.767
7432,5,LOS ANGELES,0.766
516,11,Voluntary non-profit - Private,0.766
202,11,Voluntary non-profit - Private,0.766
9256,5,WATSONVILLE,0.766
8403,13,Surgical Infection Prevention,0.765
5406,6,AR,0.765
8684,6,CA,0.765
4138,11,Government - Local,0.765
6002,10,Acute Care Hospitals,0.765
6087,5,NO LITTLE ROCK,0.765
7365,10,Acute Care Hospitals,0.765
8684,10,Acute Care Hospitals,0.764
5021,12,Yes,0.764
4192,10,Acute Care Hospitals,0.764
9464,7,91911,0.764
648,5,WEDOWEE,0.764
2817,16,100%,0.764
9103,6,CA,0.764
5604,13,Surgical Infection Prevention,0.764
6316,11,Voluntary non-profit - Private,0.764
1104,12,Yes,0.764
4816,7,85621,0.764
456,10,Acute Care Hospitals,0.764
8797,10,Acute Care Hospitals,0.764
3552,10,Acute Care Hospitals,0.764
3854,12,Yes,0.764
6876,7,95819,0.764
2330,17,0 patients,0.764
7051,7,95966,0.763
6113,6,AR,0.763
5727,7,72112,0.763
9190,6,CA,0.763
2215,5,EVERGREEN,0.763
8267,7,90004,0.763
2742,11,Government - Federal,0.763
5127,9,8704144000,0.763
7998,6,CA,0.763
6845,8,AMADOR,0.763
6202,5,WYNNE,0.763
5770,10,Acute Care Hospitals,0.762
9606,10,Acute Care Hospitals,0.762
7040,12,Yes,0.762
8876,12,Yes,0.762
2251,16,100%,0.762
4657,5,DOUGLAS,0.762
3112,10,Critical Access Hospitals,0.762
5196,10,Acute Care Hospitals,0.762
2729,12,Yes,0.762
5145,13,Pneumonia,0.762
8491,12,Yes,0.762
6681,7,72215,0.762
8165,5,LYNWOOD,0.762
4924,5,CLARKSVILLE,0.762
2502,7,35404,0.762
6371,17,0 patients,0.762
5414,11,Proprietary,0.761
2635,12,Yes,0.761
8270,10,Acute Care Hospitals,0.761
3294,13,Pneumonia,0.761
8718,12,Yes,0.761
6316,7,72543,0.761
7470,5,OAKDALE,0.761
8165,11,Voluntary non-profit - Church,0.761
4265,7,85225,0.761
1920,13,Surgical Infection Prevention,0.761
9718,6,CA,0.761
4266,6,AZ,0.761
