ind,attr,val,expectation
3040,11,Proprietary,0.777
1227,11,Voluntary non-profit - Private,0.775
781,12,Yes,0.774
3950,5,GLENDALE,0.774
5219,12,No,0.774
8840,6,CA,0.774
5021,16,0%,0.773
4826,9,9284253261,0.772
5894,11,Government Federal,0.771
218,11,Voluntary non-profit - Private,0.77
6921,12,No,0.77
9906,12,No,0.77
2372,11,Proprietary,0.769
317,11,Proprietary,0.769
2401,11,Government - Hospital District or Authority,0.769
8393,6,CA,0.769
3747,11,Government - Federal,0.769
3670,9,9288558185,0.768
8171,12,Yes,0.768
2518,12,No,0.768
3772,11,Government - Federal,0.768
5613,6,AR,0.768
2252,12,No,0.768
6610,12,Yes,0.768
4135,11,Government - Local,0.767
8278,10,Acute Care Hospitals,0.767
4135,9,4808545050,0.767
7702,6,CA,0.767
5145,11,Proprietary,0.767
4770,11,Proprietary,0.767
7134,12,Yes,0.767
9928,12,Yes,0.767
7044,13,Pneumonia,0.766
2861,12,Yes,0.765
8296,11,Government - State,0.765
6002,13,Surgical Infection Prevention,0.765
2459,12,No,0.765
8962,5,VENTURA,0.765
8698,11,Voluntary non-profit - Other,0.764
8174,11,Voluntary non-profit - Church,0.764
6403,12,Yes,0.764
4017,6,AZ,0.764
7699,13,Surgical Infection Prevention,0.764
6996,16,100%,0.764
8962,6,CA,0.764
1260,8,BARBOUR,0.763
5744,11,Government - Local,0.763
2641,10,Acute Care Hospitals,0.763
4138,9,4808545050,0.763
4832,17,0 patients,0.763
4778,12,No,0.763
8110,6,CA,0.763
6835,12,Yes,0.763
2247,12,Yes,0.763
6641,6,AR,0.763
4558,5,PRESCOTT,0.763
5696,17,102 patients,0.762
8378,12,Yes,0.762
1594,5,BREWTON,0.762
5145,10,Acute Care Hospitals,0.762
7615,6,CA,0.762
3854,12,Yes,0.762
2949,12,Yes,0.762
899,10,Acute Care Hospitals,0.762
9500,12,Yes,0.762
6512,10,Critical Access Hospitals,0.762
2062,11,Government - Local,0.762
1207,12,No,0.762
9232,5,LAGUNA BEACH,0.762
11,10,Acute Care Hospitals,0.762
6475,5,ARKADELPHIA,0.761
3919,12,Yes,0.761
9913,12,No,0.761
4017,12,Yes,0.761
2394,10,Acute Care Hospitals,0.761
9461,11,Voluntary non-profit - Other,0.761
5278,5,MOUNTAIN HOME,0.761
1539,11,Voluntary non-profit - Other,0.761
3552,6,AZ,0.761
2594,5,ANCHORAGE,0.761
6745,12,Yes,0.761
6963,11,Voluntary non-profit - Church,0.761
2980,11,Voluntary non-profit - Other,0.761
8070,10,Acute Care Hospitals,0.76
2594,12,No,0.76
8665,6,CA,0.76
7751,11,Government - Hospital District or Authority,0.76
4593,12,No,0.76
3302,13,Surgical Infection Prevention,0.76
8830,5,LOS ANGELES,0.76
8555,5,WOODLAND,0.76
3644,12,No,0.76
3117,10,Critical Access Hospitals,0.76
4139,10,Acute Care Hospitals,0.76
4377,9,4807288327,0.76
6477,12,Yes,0.76
7126,6,CA,0.76
