8894,11,Voluntary non-profit - Private,0.778
8219,12,Yes,0.778
3619,11,Voluntary non-profit - Other,0.775
4102,13,Pneumonia,0.775
3854,12,Yes,0.774
9563,7,94110,0.772
6909,11,Proprietary,0.772
6963,16,100%,0.771
1862,12,Yes,0.771
4770,10,Critical Access Hospitals,0.771
8869,6,CA,0.771
139,13,Surgical Infection Prevention,0.77
4227,10,Acute Care Hospitals,0.77
1759,10,Acute Care Hospitals,0.77
7858,5,OXNARD,0.77
5947,11,Proprietary,0.77
9979,5,SAN LEANDRO,0.77
5145,13,Pneumonia,0.77
5419,6,AR,0.769
3619,6,AZ,0.769
2313,16,100%,0.769
1126,11,Government - Hospital District or Authority,0.769
5722,13,Pneumonia,0.768
3933,6,AZ,0.768
9050,7,92804,0.768
5065,7,71953,0.768
3471,13,Surgical Infection Prevention,0.767
4562,4,1003 WILLOW CREEK ROAD,0.767
7529,7,95051,0.767
4265,15,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),0.767
3160,11,Voluntary non-profit - Church,0.767
3784,6,AZ,0.766
8490,6,CA,0.766
1675,12,Yes,0.766
4437,7,85234,0.766
9192,16,100%,0.766
2742,18,AK_AMI-2,0.766
8070,13,Surgical Infection Prevention,0.766
9522,5,PARADISE,0.765
5887,5,LITTLE ROCK,0.765
4876,7,85016,0.765
9225,10,Acute Care Hospitals,0.765
3625,17,10 patients,0.765
2459,10,Acute Care - VA Medical Center,0.765
9546,9,7147741450,0.765
3944,10,Acute Care Hospitals,0.765
8662,5,MARYSVILLE,0.765
9541,7,92801,0.765
1456,13,Pneumonia,0.765
8265,12,No,0.765
7496,16,100%,0.765
2027,12,Yes,0.765
8421,12,Yes,0.765
4675,5,DOUGLAS,0.765
8869,5,GRASS VALLEY,0.764
31,10,Acute Care Hospitals,0.764
2591,10,Acute Care Hospitals,0.764
8890,11,Voluntary non-profit - Private,0.764
4205,6,AZ,0.764
6654,7,72454,0.764
9072,12,Yes,0.764
5614,12,Yes,0.764
1539,12,No,0.763
3711,12,Yes,0.763
947,11,Voluntary non-profit - Private,0.763
9928,7,93257,0.763
107,10,Acute Care Hospitals,0.763
5313,13,Heart Attack,0.763
367,15,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,0.763
1743,11,Voluntary non-profit - Other,0.763
9056,5,ANAHEIM,0.763
2252,12,No,0.763
6557,5,DUMAS,0.763
7530,7,95051,0.763
4191,11,Proprietary,0.763
8499,10,Acute Care Hospitals,0.763
4133,12,Yes,0.763
2313,5,MOBILE,0.762
