ind,attr,val,expectation
1472,5,GROVE HILL,0.78
8948,16,96%,0.78
4743,9,9287554500,0.779
2693,10,Acute Care Hospitals,0.779
661,5,WEDOWEE,0.776
4562,13,Pneumonia,0.775
2428,16,99%,0.773
6477,16,94%,0.773
489,18,AL_SCIP-INF-6,0.773
1097,12,Yes,0.773
3294,3,MARICOPA MEDICAL CENTER,0.773
8738,13,Pneumonia,0.773
3663,7,85546,0.772
530,4,2105 EAST SOUTH BOULEVARD,0.772
979,3,MEDICAL CENTER ENTERPRISE,0.772
9718,4,300 W HUNTINGTON DR,0.772
8490,6,CA,0.772
530,8,MONTGOMERY,0.772
398,17,0 patients,0.772
3711,12,Yes,0.771
7595,14,SCIP-VTE-2,0.771
6996,3,GROSSMONT HOSPITAL,0.771
2537,3,RED BAY HOSPITAL,0.77
1844,15,surgery patients who were given the  right kind  of antibiotic to help prevent infection,0.77
3804,7,85016,0.77
211,16,85%,0.77
5981,9,8702621200,0.769
3784,4,5102 WEST CAMPBELL AVENUE,0.769
303,10,Acute Care Hospitals,0.769
4838,4,5102 WEST CAMPBELL AVENUE,0.769
3419,4,475 SOUTH DOBSON ROAD,0.769
771,18,AL_SCIP-INF-4,0.769
5395,13,Pneumonia,0.769
5814,4,700 WEST GROVE STREET,0.769
3099,17,95 patients,0.768
6876,7,95819,0.768
5313,16,68%,0.768
5366,9,4799682841,0.768
6642,7,72616,0.768
4751,11,Proprietary,0.768
3647,12,No,0.768
4368,4,5102 WEST CAMPBELL AVENUE,0.768
4975,8,PULASKI,0.768
3917,6,AZ,0.768
9547,16,100%,0.768
3933,12,Yes,0.768
7857,16,100%,0.767
3901,12,Yes,0.767
5770,5,BENTON,0.767
9629,12,Yes,0.767
3047,15,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0.767
6055,17,12 patients,0.767
3726,5,TUBA CITY,0.767
2568,12,Yes,0.767
69,17,76 patients,0.767
3747,4,PO BOX 548,0.767
2027,17,20 patients,0.767
9918,4,2823 FRESNO STREET,0.767
1539,3,HALE COUNTY HOSPITAL,0.767
6549,17,0 patients,0.766
3689,10,Acute Care Hospitals,0.766
126,13,Heart Attack,0.766
3283,10,Acute Care Hospitals,0.766
4133,16,100%,0.766
8393,11,Proprietary,0.766
3711,9,9287298000,0.766
8426,15,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),0.766
8087,9,7075545280,0.766
6819,6,CA,0.766
8532,2,50126,0.766
7615,17,96 patients,0.766
3281,3,MARICOPA MEDICAL CENTER,0.766
5761,10,Acute Care Hospitals,0.766
887,5,FAYETTE,0.766
9906,17,1 patients,0.766
8797,5,FONTANA,0.765
2922,4,5102 WEST CAMPBELL AVENUE,0.765
5946,8,CRAIGHEAD,0.765
8362,4,18300 ROSCOE BLVD,0.765
3481,7,85635,0.765
3048,11,Proprietary,0.765
5887,12,No,0.765
3936,18,AZ_SCIP-INF-3,0.765
9500,9,5308779361,0.765
9664,18,CA_PN-5C,0.765
9099,16,98%,0.765
4760,10,Critical Access Hospitals,0.764
4017,13,Heart Attack,0.764
8684,2,50136,0.764
3878,6,AZ,0.764
2563,8,RANDOLPH,0.764
2729,9,9072624404,0.764
6512,4,1015 UNITY ROAD,0.764
3683,7,86403,0.764
7998,9,5105371234,0.764
456,12,Yes,0.764
5510,8,SEBASTIAN,0.764
1721,11,Voluntary non-profit - Private,0.764
7761,5,SAN FRANCISCO,0.764
6770,12,Yes,0.764
3933,4,1301 SOUTH CRISMON ROAD,0.764
5395,4,2215 WILDWOOD AVENUE,0.764
6429,5,BOONEVILLE,0.764
6371,5,OSCEOLA,0.764
5770,3,SALINE MEMORIAL HOSPITAL,0.764
150,3,HARTSELLE MEDICAL CENTER,0.764
1624,10,Acute Care Hospitals,0.763
8987,9,2094680600,0.763
8087,11,Voluntary non-profit - Other,0.763
5050,8,WHITE,0.763
1260,8,BARBOUR,0.763
6333,4,1800 BYPASS ROAD,0.763
3776,8,GILA,0.763
1920,5,HALEYVILLE,0.763
1787,11,Government - Hospital District or Authority,0.763
7579,10,Acute Care Hospitals,0.763
5483,15,Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma,0.763
5291,4,2302 COLLEGE AVENUE,0.763
7458,18,CA_PN-3B,0.763
5946,11,Proprietary,0.763
5671,4,1001 SCHNEIDER DRIVE,0.763
9448,3,COAST PLAZA HOSPITAL,0.763
5015,11,Voluntary non-profit - Other,0.762
8829,3,CALIFORNIA HOSPITAL MEDICAL CENTER LA,0.762
5614,8,ARKANSAS,0.762
8835,16,100%,0.762
9642,13,Surgical Infection Prevention,0.762
5392,16,100%,0.762
8671,11,Voluntary non-profit - Other,0.762
7854,12,No,0.762
3294,11,Government - Local,0.762
8684,17,10 patients,0.762
417,3,COOSA VALLEY MEDICAL CENTER,0.762
4017,8,MARICOPA,0.762
6589,15,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),0.762
7858,13,Pneumonia,0.762
6019,11,Proprietary,0.762
2563,17,28 patients,0.762
1092,8,JEFFERSON,0.762
9132,16,97%,0.762
4826,18,AZ_AMI-1,0.762
4129,12,Yes,0.762
8480,4,5555 WEST THUNDERBIRD ROAD,0.762
4624,5,BENSON,0.762
2278,3,L V STABLER MEMORIAL HOSPITAL,0.762
210,12,Yes,0.762
5583,5,BLYTHEVILLE,0.762
4539,3,VA S. ARIZONA HEALTHCARE SYSTEM,0.762
5218,10,Acute Care Hospitals,0.762
6306,12,Yes,0.762
5722,10,Acute Care Hospitals,0.762
1974,3,JACKSON MEDICAL CENTER,0.762
5696,4,1910 MALVERN AVENUE,0.761
8893,3,SAINT FRANCIS MEMORIAL HOSPITAL,0.761
9031,5,WHITTIER,0.761
6398,5,FORDYCE,0.761
6249,9,8708861200,0.761
8892,6,CA,0.761
2527,8,WASHINGTON,0.761
3712,8,APACHE,0.761
7051,4,2767 OLIVE HIGHWAY,0.761
5504,3,SPARKS REGIONAL MEDICAL CENTER,0.761
4292,18,AZ_SCIP-INF-6,0.761
2075,8,SUMTER,0.761
4825,10,Critical Access Hospitals,0.761
9464,7,91911,0.761
1738,5,CARROLLTON,0.761
1927,4,1330 HIGHWAY 231 SOUTH,0.761
3466,4,7400 EAST OSBORN ROAD,0.761
8862,13,Pneumonia,0.761
2348,10,Acute Care Hospitals,0.761
7793,9,6192948111,0.761
3191,4,5102 WEST CAMPBELL AVENUE,0.761
1476,5,GROVE HILL,0.761
7479,12,Yes,0.761
9256,11,Proprietary,0.761
1271,10,Acute Care Hospitals,0.761
5970,3,WHITE RIVER MEDICAL CENTER,0.761
638,7,36801,0.761
8676,6,CA,0.761
9502,4,5974 PENTZ ROAD,0.761
1513,17,332 patients,0.761
7389,3,GLENDALE MEM HOSPITAL & HLTH CENTER,0.761
12,3,HELEN KELLER MEMORIAL HOSPITAL,0.761
5218,8,WASHINGTON,0.761
9632,11,Voluntary non-profit - Other,0.761
9621,7,91767,0.761
5712,9,8705238911,0.761
6392,5,OSCEOLA,0.761
7969,9,3235813931,0.761
5455,11,Voluntary non-profit - Private,0.761
9117,16,78%,0.761
1513,18,AL_SCIP-INF-1,0.761
5940,10,Acute Care Hospitals,0.76
3784,6,AZ,0.76
5266,12,Yes,0.76
5197,16,91%,0.76
8784,5,FONTANA,0.76
9347,7,94062,0.76
2411,5,PHENIX CITY,0.76
8821,6,CA,0.76
4593,3,WICKENBURG COMMUNITY HOSPITAL,0.76
5824,11,Proprietary,0.76
7267,8,SAN FRANCISCO,0.76
8267,12,No,0.76
2372,10,Acute Care Hospitals,0.76
4065,2,30100,0.76
5438,5,CAMDEN,0.76
2477,8,MONTGOMERY,0.76
8738,10,Acute Care Hospitals,0.76
7874,7,95204,0.76
1887,16,95%,0.76
1266,17,60 patients,0.76
3355,6,AZ,0.76
3294,9,6023445011,0.76
1709,3,TRINITY MEDICAL CENTER,0.76
8319,2,50113,0.76
6113,11,Proprietary,0.76
9376,7,91740,0.76
3444,6,AZ,0.76
9072,13,Surgical Infection Prevention,0.76
4751,12,No,0.76
9190,5,LONG BEACH,0.76
3200,10,Acute Care Hospitals,0.76
3398,3,PAYSON REGIONAL MEDICAL CENTER,0.76
4139,11,Government - Local,0.76
3923,4,6644 EAST BAYWOOD AVENUE,0.76
9920,3,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFOR,0.76
1207,10,Acute Care Hospitals,0.76
583,4,4800 48TH ST,0.76
7644,3,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,0.76
7672,8,ORANGE,0.759
4981,16,89%,0.759
9399,15,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,0.759
4065,8,PIMA,0.759
2861,2,21311,0.759
8894,13,Surgical Infection Prevention,0.759
9632,6,CA,0.759
7175,16,100%,0.759
2580,6,AL,0.759
6723,9,6506965270,0.759
8403,6,CA,0.759
3734,8,COCONINO,0.759
4784,10,Critical Access Hospitals,0.759
9232,4,200 WEST ARBOR DRIVE,0.759
9968,6,CA,0.759
771,4,400 EAST 10TH STREET,0.759
6345,9,8709463571,0.759
8963,3,VENTURA COUNTY MEDICAL CENTER,0.759
1725,12,Yes,0.759
9257,6,CA,0.759
911,5,GADSDEN,0.759
3389,8,GILA,0.759
9329,11,Voluntary non-profit - Private,0.759
2348,4,201 WEST AVALON AVENUE,0.759
9421,3,ALAMEDA HOSPITAL,0.759
6288,10,Critical Access Hospitals,0.759
9031,7,90602,0.759
6557,16,93%,0.759
1371,4,1613 NORTH MCKENZIE STREET,0.759
3983,6,AZ,0.759
8676,8,SONOMA,0.759
6876,11,Voluntary non-profit - Church,0.759
8426,6,CA,0.759
8014,10,Acute Care Hospitals,0.759
5521,3,ST EDWARD MERCY MEDICAL CENTER,0.759
8254,10,Acute Care Hospitals,0.759
1887,9,2517553111,0.759
8640,17,0 patients,0.759
176,10,Acute Care Hospitals,0.759
3515,17,0 patients,0.759
5770,6,AR,0.759
4229,3,UNIVERSITY PHYSICIANS HEALTHCARE HOSPITAL AT KINO,0.758
2279,12,Yes,0.758
3586,16,97%,0.758
9253,5,WATSONVILLE,0.758
3711,10,Acute Care Hospitals,0.758
3254,11,Voluntary non-profit - Other,0.758
7761,10,Acute Care Hospitals,0.758
7751,5,SAN FRANCISCO,0.758
1021,16,71%,0.758
1434,5,JASPER,0.758
5308,3,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,0.758
7644,17,0 patients,0.758
3117,17,61 patients,0.758
1844,12,Yes,0.758
8537,8,YOLO,0.758
1499,7,35401,0.758
303,2,10018,0.758
1759,12,No,0.758
5510,7,72917,0.758
1743,3,PICKENS COUNTY MEDICAL CENTER,0.758
6601,8,CHICOT,0.758
7241,10,Acute Care Hospitals,0.758
4129,16,96%,0.758
1300,5,ASHLAND,0.758
5687,8,GARLAND,0.758
9502,9,5308779631,0.758
4193,17,34 patients,0.758
3936,15,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),0.758
781,12,Yes,0.758
4659,5,DOUGLAS,0.758
4784,17,4 patients,0.758
3283,11,Government - Local,0.758
9606,6,CA,0.758
4738,13,Pneumonia,0.758
5330,16,94%,0.758
6819,17,308 patients,0.758
1318,5,ANNISTON,0.758
4989,12,Yes,0.758
4924,4,2500 HIGHWAY 65 SOUTH,0.758
530,2,10023,0.758
8701,3,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,0.758
1558,10,Acute Care Hospitals,0.758
5213,7,72764,0.758
1396,11,Government - Hospital District or Authority,0.758
4478,12,Yes,0.758
3057,4,5102 WEST CAMPBELL AVENUE,0.758
837,17,4 patients,0.757
4743,11,Voluntary non-profit - Private,0.757
6589,14,SCIP-INF-3,0.757
