ind,attr,val,expectation
3936,5,MESA,0.788
6761,8,SAN FRANCISCO,0.786
3775,17,0 patients,0.784
8935,11,Proprietary,0.78
2796,4,222 TONGASS DR,0.78
9190,7,90813,0.78
9292,17,80 patients,0.78
3303,8,COCONINO,0.779
2313,7,36693,0.779
2361,5,RUSSELLVILLE,0.777
6553,11,Voluntary non-profit - Private,0.776
7365,13,Surgical Infection Prevention,0.776
1844,16,98%,0.775
6055,7,71913,0.774
5213,12,No,0.774
4743,6,AZ,0.773
5617,8,ARKANSAS,0.773
4129,4,6644 EAST BAYWOOD AVENUE,0.773
5197,16,91%,0.772
8274,8,LOS ANGELES,0.772
4825,10,Critical Access Hospitals,0.772
8698,3,PETALUMA VALLEY HOSPITAL,0.772
7335,17,316 patients,0.771
400,8,AUTAUGA,0.771
6295,10,Critical Access Hospitals,0.771
8432,11,Voluntary non-profit - Other,0.77
8254,5,LOMPOC,0.77
2784,6,AK,0.77
7934,13,Pneumonia,0.77
1887,9,2517553111,0.769
4192,16,86%,0.769
7336,4,1600 W AVE J,0.769
5346,17,225 patients,0.769
9376,12,Yes,0.769
2725,8,KENAI PENINSULA,0.769
6487,17,49 patients,0.769
2278,4,29 L V STABLER DRIVE,0.768
1844,17,202 patients,0.768
8788,12,No,0.768
4227,8,PIMA,0.768
2269,15,surgery patients who were given the  right kind  of antibiotic to help prevent infection,0.768
6262,3,LAWRENCE MEMORIAL HOSPITAL,0.768
5395,16,100%,0.768
2257,10,Acute Care - VA Medical Center,0.768
9232,6,CA,0.768
2411,10,Acute Care Hospitals,0.768
7134,3,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,0.768
1759,16,25%,0.768
662,8,RANDOLPH,0.768
4138,12,Yes,0.767
5953,4,225 E JACKSON,0.767
5940,10,Acute Care Hospitals,0.767
8604,9,9098814440,0.767
5933,6,AR,0.767
5021,13,Surgical Infection Prevention,0.767
1601,2,10100,0.767
7230,13,Surgical Infection Prevention,0.767
9920,8,FRESNO,0.767
823,5,GADSDEN,0.767
7021,3,MAD RIVER COMMUNITY HOSPITAL,0.766
8393,10,Acute Care Hospitals,0.766
4377,4,5656 SOUTH POWER ROAD,0.766
947,11,Voluntary non-profit - Private,0.766
5826,18,AR_PN-7,0.766
3303,3,FLAGSTAFF MEDICAL CENTER,0.766
1675,2,10103,0.766
3888,7,85741,0.766
944,11,Voluntary non-profit - Private,0.766
1594,16,95%,0.766
4816,8,SANTA CRUZ,0.766
4551,2,10001,0.766
3707,13,Pneumonia,0.766
5395,8,CRITTENDEN,0.766
9267,2,50194,0.766
8403,13,Surgical Infection Prevention,0.765
8319,2,50113,0.765
6070,10,Acute Care Hospitals,0.765
3670,16,99%,0.765
1499,2,10092,0.765
1152,2,10059,0.765
9350,9,6619484781,0.765
1544,12,No,0.765
9606,11,Voluntary non-profit - Other,0.765
3300,12,Yes,0.765
5483,3,SPARKS REGIONAL MEDICAL CENTER,0.765
4274,8,PIMA,0.765
5123,4,2215 WILDWOOD AVENUE,0.765
5287,17,0 patients,0.765
8890,10,Acute Care Hospitals,0.765
5687,4,1910 MALVERN AVENUE,0.764
2624,11,Voluntary non-profit - Private,0.764
5708,3,NATIONAL PARK MEDICAL CENTER,0.764
2086,8,SUMTER,0.764
7044,7,95966,0.764
6761,4,CASTRO  DUBOCE STS,0.764
8403,8,SAN JOAQUIN,0.764
9399,7,91740,0.764
8630,15,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0.764
3839,9,6029235000,0.764
3850,6,AZ,0.764
2278,11,Proprietary,0.764
8630,5,NOVATO,0.764
8987,6,CA,0.764
8862,17,144 patients,0.764
9050,7,92804,0.764
1396,12,Yes,0.764
2537,4,211 HOSPITAL ROAD,0.764
5510,12,Yes,0.764
3917,7,85206,0.764
9292,13,Surgical Infection Prevention,0.764
9606,10,Acute Care Hospitals,0.764
6429,17,8 patients,0.764
2036,11,Proprietary,0.764
3794,8,MARICOPA,0.764
3387,13,Heart Failure,0.763
2394,4,810 ST VINCENTS DRIVE,0.763
