6770,10,Acute Care Hospitals,0.78
3283,12,Yes,0.777
7479,11,Voluntary non-profit - Church,0.774
6909,10,Acute Care Hospitals,0.773
9546,6,CA,0.772
9019,7,92835,0.772
6746,12,Yes,0.772
1049,5,DADEVILLE,0.772
6444,7,71832,0.771
4478,16,100%,0.771
1862,6,L,0.771
9232,6,CA,0.771
8549,6,CA,0.77
954,5,GEORGIANA,0.769
8274,10,Acute Care Hospitals,0.769
8342,6,CA,0.769
6145,15,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0.769
5405,7,72301,0.768
9198,11,Voluntary non-profit - Church,0.768
3839,11,Proprietary,0.768
4368,11,Voluntary non-profit - Private,0.768
5425,7,72455,0.768
5046,10,Acute Care Hospitals,0.768
4796,13,Surgical Infection Prevention,0.767
7552,12,Yes,0.766
5123,9,8704144000,0.766
8621,5,NOVATO,0.766
8630,6,CA,0.766
7126,7,95926,0.766
1927,17,0 patients,0.766
1738,10,Acute Care Hospitals,0.766
9578,6,CA,0.765
5658,11,Voluntary non-profit - Other,0.765
2411,5,PHENIX CITY,0.765
9502,10,Acute Care Hospitals,0.765
2502,10,Acute Care - VA Medical Center,0.765
7388,13,Surgical Infection Prevention,0.765
211,11,Voluntary non-profit - Private,0.764
7552,11,Voluntary non-profit - Other,0.764
5846,11,Proprietary,0.764
5638,12,Yes,0.764
6996,6,CA,0.764
9461,7,91911,0.764
7819,10,Acute Care Hospitals,0.764
400,5,PRATTVILLE,0.764
8797,7,92335,0.764
9632,7,93401,0.764
4539,7,85723,0.763
6969,7,91950,0.763
5046,13,Surgical Infection Prevention,0.763
9913,12,No,0.763
638,10,Acute Care Hospitals,0.763
9979,12,Yes,0.763
4250,11,Proprietary,0.763
5946,9,8709727000,0.763
3400,10,Acute Care Hospitals,0.763
8110,6,CA,0.763
7338,3,ANTELOPE VALLEY HOSPITAL MED CENTER,0.763
9253,10,Acute Care Hospitals,0.763
147,16,100%,0.763
4340,13,Surgical Infection Prevention,0.762
6295,11,Government - Local,0.762
6832,5,JACKSON,0.762
8788,7,92335,0.762
3117,13,Pneumonia,0.762
1235,10,Acute Care Hospitals,0.762
3824,17,100 patients,0.762
8110,7,92503,0.762
1673,5,BIRMINGHAM,0.762
3943,6,AZ,0.762
4924,5,CLARKSVILLE,0.762
6534,12,Yes,0.762
2011,12,Yes,0.762
5392,6,AR,0.762
9378,11,Voluntary non-profit - Private,0.761
583,7,36854,0.761
1743,11,Voluntary non-profit - Other,0.761
5123,11,Voluntary non-profit - Private,0.761
3515,5,SUN CITY,0.761
7973,12,Yes,0.761
9606,10,Acute Care Hospitals,0.761
9606,9,9098659500,0.761
6819,10,Acute Care Hospitals,0.761
6476,12,Yes,0.761
8267,10,Acute Care Hospitals,0.761
2796,11,Government - Local,0.761
3249,11,Voluntary non-profit - Private,0.761
436,8,ANCHORAGE,0.761
8051,6,CA,0.761
4198,10,Acute Care Hospitals,0.761
6025,6,AR,0.76
3856,10,Acute Care Hospitals,0.76
3711,10,Acute Care Hospitals,0.76
7552,6,CA,0.76
1021,5,EUTAW,0.76
3734,5,TUBA CITY,0.76
6819,4,10 WOODLAND ROAD,0.76
7602,7,94611,0.76
9960,10,Acute Care Hospitals,0.76
3657,9,9283484000,0.76
9164,6,CA,0.76
8987,10,Acute Care Hospitals,0.76
5616,7,72160,0.76
9256,12,Yes,0.76
2693,10,Acute Care Hospitals,0.76
6723,11,Voluntary non-profit - Private,0.76
3657,5,SAFFORD,0.76
5555,13,Surgical Infection Prevention,0.76
4738,5,GANADO,0.76
3419,13,Pneumonia,0.76
400,11,Voluntary non-profit - Private,0.759
4265,9,4806039000,0.759
5053,7,72143,0.759
4951,5,FAYETTEVILLE,0.759
3663,5,SAFFORD,0.759
2401,17,0 patients,0.759
5953,9,8709727000,0.759
2313,16,100%,0.759
4587,5,WICKENBURG,0.759
8929,10,Acute Care Hospitals,0.759
1675,12,Yes,0.759
7139,12,Yes,0.759
5395,11,Voluntary non-profit - Other,0.759
5419,9,8708926000,0.759
5613,7,72160,0.759
8822,7,93940,0.759
3494,12,Yes,0.759
5455,11,Voluntary non-profit - Private,0.759
3734,10,Acute Care Hospitals,0.759
6905,6,CA,0.759
4102,6,AZ,0.759
3929,6,AZ,0.759
7699,12,No,0.759
2518,12,No,0.759
9806,5,COLTON,0.759
4965,5,LITTLE ROCK,0.759
887,10,Acute Care Hospitals,0.759
7496,5,SOUTH SAN FRANCISCO,0.758
2784,10,Acute Care Hospitals,0.758
8731,16,100%,0.758
9022,12,Yes,0.758
7470,11,Government - Hospital District or Authority,0.758
5466,7,71655,0.758
5330,11,Voluntary non-profit - Other,0.758
