ind,attr,val,expectation
956,14,Heart Attack,0.664
237,14,Heart Failure,0.66
489,17,100%,0.66
699,14,Surgical Infection Prevention,0.66
717,14,Surgical Infection Prevention,0.658
128,14,Pneumonia,0.657
603,9,COFFEE,0.657
32,12,Government - Hospital District or Authority,0.656
239,9,DE KALB,0.654
870,14,Surgical Infection Prevention,0.653
675,13,Yes,0.653
37,10,3347938701,0.653
887,7,AL,0.653
427,17,100%,0.653
121,17,Empty,0.652
700,10,3342836541,0.652
40,11,Acute Care Hospitals,0.65
556,14,Heart Attack,0.65
257,14,Pneumonia,0.649
228,9,DE KALB,0.649
379,17,100%,0.649
766,2,ANDALUSIA REGIONAL HOSPITAL,0.648
731,9,CULLMAN,0.648
794,1,10039,0.647
759,2,ANDALUSIA REGIONAL HOSPITAL,0.647
756,1,10036,0.647
183,7,AL,0.646
74,14,Heart Failure,0.646
350,15,AMI-5,0.646
200,14,Heart Failure,0.646
713,14,Surgical Infection Prevention,0.645
23,14,Heart Failure,0.645
963,2,MEDICAL CENTER ENTERPRISE,0.644
27,2,SOUTHEAST ALABAMA MEDICAL CENTER,0.644
25,13,Yes,0.644
589,11,Acute Care Hospitals,0.644
634,9,LEE,0.644
879,1,10045,0.643
328,13,Yes,0.643
699,17,100%,0.643
322,10,2562358900,0.642
731,2,CULLMAN REGIONAL MEDICAL CENTER,0.642
860,1,10044,0.642
493,13,Yes,0.642
528,9,MONTGOMERY,0.642
846,18,4 patients,0.641
468,14,Heart Attack,0.641
257,17,Empty,0.641
22,14,Pneumonia,0.641
869,12,Voluntary non-profit - Private,0.641
387,10,2514717110,0.64
414,18,125 patients,0.64
382,10,2514717110,0.64
240,14,Surgical Infection Prevention,0.64
866,10,2059216200,0.64
781,14,Heart Failure,0.64
512,11,Acute Care Hospitals,0.64
172,2,MARSHALL MEDICAL CENTER NORTH,0.64
238,17,97%,0.639
753,9,COVINGTON,0.639
609,14,Heart Failure,0.639
248,12,Government - Federal,0.638
799,9,MADISON,0.638
696,14,Surgical Infection Prevention,0.638
549,10,3342938000,0.638
719,17,99%,0.638
889,17,Empty,0.638
491,11,Acute Care Hospitals,0.637
134,18,2 patients,0.637
680,14,Heart Failure,0.637
517,10,3342882100,0.637
600,14,Heart Failure,0.636
472,10,3347742601,0.636
188,17,100%,0.636
163,12,Proprietary,0.636
116,18,0 patients,0.636
159,17,100%,0.635
164,17,Empty,0.635
458,9,JEFFERSON,0.635
333,12,Proprietary,0.635
386,2,UNIV OF SOUTH ALABAMA MEDICAL CENTER,0.635
209,17,100%,0.634
262,10,3346366221,0.634
137,9,CRENSHAW,0.634
579,9,CHAMBERS,0.633
975,14,Heart Attack,0.633
783,11,Acute Care Hospitals,0.633
588,13,Yes,0.633
43,12,Government - Hospital District or Authority,0.633
847,12,Voluntary non-profit - Private,0.633
367,14,Surgical Infection Prevention,0.632
406,17,90%,0.632
507,14,Heart Failure,0.632
406,17,Empty,0.632
609,1,10027,0.632
514,9,CHEROKEE,0.632
253,9,CLARKE,0.631
923,7,AL,0.631
699,9,ELMORE,0.631
132,2,CRENSHAW COMMUNITY HOSPITAL,0.631
920,13,Yes,0.631
370,14,Surgical Infection Prevention,0.631
337,17,99%,0.631
52,13,Yes,0.631
457,12,Government - Hospital District or Authority,0.631
702,7,AL,0.63
882,10,2059325966,0.63
403,7,AL,0.63
580,13,Yes,0.63
387,14,Heart Failure,0.63
752,10,3342228466,0.63
988,2,ST VINCENTS BLOUNT,0.63
967,9,COFFEE,0.63
667,10,2059344011,0.63
338,2,FLOWERS HOSPITAL,0.63
226,14,Pneumonia,0.629
527,12,Voluntary non-profit - Church,0.629
253,17,Empty,0.629
632,14,Surgical Infection Prevention,0.629
280,14,Pneumonia,0.629
51,7,AL,0.629
325,9,CALHOUN,0.629
825,10,2564944000,0.629
503,9,CHEROKEE,0.629
849,11,Acute Care Hospitals,0.628
44,13,Yes,0.628
