ind,attr,val,expectation
338,2,FLOWERS HOSPITAL,0.607
25,10,3347938701,0.645
61,10,2565938310,0.622
956,1,10049,0.594
229,10,2568453150,0.635
591,6,VALLEY,0
725,1,10035,0.616
873,12,Voluntary non-profit - Private,0.619
702,7,AL,0.608
40,11,Acute Care Hospitals,0.635
884,10,2059325966,0.647
409,1,10108,0.608
640,1,10029,0.615
390,13,Yes,0.627
751,8,36420,0
25,13,Yes,0.624
815,11,Acute Care Hospitals,0.636
545,8,36106,0
573,12,Voluntary non-profit - Other,0.636
274,1,10016,0.634
71,8,35631,0
347,9,HOUSTON,0.613
533,11,Acute Care Hospitals,0.598
84,7,AL,0.617
522,13,Yes,0.643
197,8,35235,0
594,10,3348972257,0.647
785,12,Government - Hospital District or Authority,0.624
11,6,SHEFFIELD,0
986,6,ONEONTA,0
977,11,Acute Care Hospitals,0.635
944,9,BUTLER,0.632
756,1,10036,0.644
279,7,AL,0.613
517,10,3342882100,0.62
969,6,ENTERPRISE,0
810,13,Yes,0.62
579,9,CHAMBERS,0.619
368,6,WINFIELD,0
172,2,MARSHALL MEDICAL CENTER NORTH,0.623
825,10,2564944000,0.619
315,1,10038,0.617
491,11,Acute Care Hospitals,0.615
673,9,JEFFERSON,0.6
780,11,Acute Care Hospitals,0.643
208,6,BIRMINGHAM,0
773,6,ANNISTON,0
965,11,Acute Care Hospitals,0.632
17,11,Acute Care Hospitals,0.623
493,13,Yes,0.653
8,6,BIRMINGHAM,0
591,9,CHAMBERS,0.63
690,9,JEFFERSON,0.624
64,8,35957,0
533,2,BAPTIST MEDICAL CENTER SOUTH,0.61
903,11,Acute Care Hospitals,0.649
923,7,AL,0.637
753,9,COVINGTON,0.623
219,12,Voluntary non-profit - Private,0.606
411,13,Yes,0.62
927,11,Acute Care Hospitals,0.62
528,9,MONTGOMERY,0.625
822,6,GADSDEN,0
503,9,CHEROKEE,0.618
326,8,36201,0
711,8,36078,0
573,10,3347561400,0.614
589,11,Acute Care Hospitals,0.649
319,13,Yes,0.634
248,10,3346366221,0.626
217,9,JEFFERSON,0.602
472,10,3347742601,0.634
102,10,3344933541,0.616
628,1,10029,0.634
140,8,36049,0
233,8,35968,0
691,6,BIRMINGHAM,0
934,1,10047,0.612
181,6,GUNTERSVILLE,0
778,2,HUNTSVILLE HOSPITAL,0.639
609,1,10027,0.664
816,8,35903,0
731,2,CULLMAN REGIONAL MEDICAL CENTER,0.625
696,11,Acute Care Hospitals,0.62
896,9,FAYETTE,0.617
711,2,COMMUNITY HOSPITAL INC,0.628
667,10,2059344011,0.64
132,2,CRENSHAW COMMUNITY HOSPITAL,0.614
328,13,Yes,0.625
518,6,MONTGOMERY,0
500,8,35960,0
635,11,Acute Care Hospitals,0.604
284,8,35007,0
239,12,Voluntary non-profit - Church,0.601
449,2,ALASKA REGIONAL HOSPITAL,0.606
343,10,3347935000,0.612
798,13,Yes,0.633
856,6,HAMILTON,0
878,11,Acute Care Hospitals,0.624
141,7,AL,0.623
322,10,2562358900,0.62
552,9,MONTGOMERY,0.591
706,11,Acute Care Hospitals,0.634
253,9,CLARKE,0.636
57,6,BOAZ,0
137,9,CRENSHAW,0.642
799,9,MADISON,0.631
294,11,Acute Care Hospitals,0.625
254,1,10015,0.629
52,13,Yes,0.647
588,13,Yes,0.611
73,9,LAUDERDALE,0.643
291,8,35007,0
655,2,WEDOWEE HOSPITAL,0.606
452,3,2801 DEBARR ROAD,0.619
730,11,Acute Care Hospitals,0.629
573,7,AL,0.612
867,13,Yes,0.588
537,13,Yes,0.633
27,2,SOUTHEAST ALABAMA MEDICAL CENTER,0.622
454,11,Acute Care Hospitals,0.604
967,9,COFFEE,0.61
602,6,ELBA,0
939,2,GEORGIANA HOSPITAL,0.633
579,6,VALLEY,0
44,13,Yes,0.615
484,7,AL,0.607
361,1,10086,0.607
699,9,ELMORE,0.625
885,7,AL,0.631
491,8,36360,0
786,9,MADISON,0.623
917,10,2565435200,0.612
94,8,35631,0
218,10,2058383122,0.61
245,1,10015,0.654
879,1,10045,0.652
150,8,35640,0
693,9,ELMORE,0.591
262,10,3346366221,0.584
376,8,35594,0
869,12,Voluntary non-profit - Private,0.621
99,11,Acute Care Hospitals,0.617
950,11,Acute Care Hospitals,0.665
757,6,ANDALUSIA,0
766,2,ANDALUSIA REGIONAL HOSPITAL,0.658
896,6,FAYETTE,0
367,8,35594,0
158,13,Yes,0.613
920,13,Yes,0.616
375,13,Yes,0.622
950,6,GEORGIANA,0
505,7,AL,0.63
961,6,ENTERPRISE,0
765,7,AL,0.618
183,7,AL,0.626
82,1,10006,0.629
580,13,Yes,0.606
856,10,2059216200,0.616
698,2,COMMUNITY HOSPITAL INC,0.642
281,11,Acute Care Hospitals,0.639
68,9,MARSHALL,0.624
514,9,CHEROKEE,0.634
714,10,3342836541,0.644
849,11,Acute Care Hospitals,0.614
357,7,AL,0.581
792,7,AL,0.62
47,7,AL,0.605
475,6,OZARK,0
922,13,Yes,0.61
656,1,10032,0.598
764,10,3342228466,0.632
267,11,Acute Care Hospitals,0.657
450,12,Proprietary,0.646
527,12,Voluntary non-profit - Church,0.634
158,8,35640,0
847,12,Voluntary non-profit - Private,0.624
387,7,AL,0.624
629,13,Yes,0.637
541,9,MONTGOMERY,0.595
988,2,ST VINCENTS BLOUNT,0.584
222,12,Voluntary non-profit - Church,0.612
486,6,OZARK,0
37,10,3347938701,0.621
4,6,BIRMINGHAM,0
963,2,MEDICAL CENTER ENTERPRISE,0.626
43,7,AL,0.616
138,8,36049,0
214,1,10011,0.616
560,1,10024,0.614
593,7,AL,0.617
561,2,JACKSON HOSPITAL & CLINIC INC,0.613
705,1,10034,0.643
45,8,35957,0
