ind,attr,val,expectation
338,2,FLOWERS HOSPITAL,0.638
25,10,3347938701,0.629
61,10,2565938310,0.588
956,1,10049,0.609
229,10,2568453150,0.622
591,6,VALLEY,0
80,6,FLORENCE,0
725,1,10035,0.615
873,12,Voluntary non-profit - Private,0.594
40,11,Acute Care Hospitals,0.628
702,7,AL,0.637
884,10,2059325966,0.639
409,1,10108,0.615
421,8,35150,0
390,13,Yes,0.618
640,1,10029,0.62
751,8,36420,0
25,13,Yes,0.626
562,10,3342938000,0.626
457,9,JEFFERSON,0.609
815,11,Acute Care Hospitals,0.654
545,8,36106,0
573,12,Voluntary non-profit - Other,0.63
274,1,10016,0.616
71,8,35631,0
347,9,HOUSTON,0.608
533,11,Acute Care Hospitals,0.618
794,1,10039,0.641
84,7,AL,0.632
522,13,Yes,0.622
197,8,35235,0
594,10,3348972257,0.602
785,12,Government - Hospital District or Authority,0.618
11,6,SHEFFIELD,0
986,6,ONEONTA,0
977,11,Acute Care Hospitals,0.614
944,9,BUTLER,0.619
386,2,UNIV OF SOUTH ALABAMA MEDICAL CENTER,0.615
756,1,10036,0.633
279,7,AL,0.618
517,10,3342882100,0.633
969,6,ENTERPRISE,0
810,13,Yes,0.623
579,9,CHAMBERS,0.62
368,6,WINFIELD,0
172,2,MARSHALL MEDICAL CENTER NORTH,0.637
825,10,2564944000,0.647
315,1,10038,0.607
491,11,Acute Care Hospitals,0.618
385,2,UNIV OF SOUTH ALABAMA MEDICAL CENTER,0.636
673,9,JEFFERSON,0.611
780,11,Acute Care Hospitals,0.626
208,6,BIRMINGHAM,0
773,6,ANNISTON,0
965,11,Acute Care Hospitals,0.62
17,11,Acute Care Hospitals,0.621
493,13,Yes,0.663
8,6,BIRMINGHAM,0
591,9,CHAMBERS,0.628
690,9,JEFFERSON,0.619
64,8,35957,0
533,2,BAPTIST MEDICAL CENTER SOUTH,0.608
333,8,36305,0
903,11,Acute Care Hospitals,0.625
923,7,AL,0.643
753,9,COVINGTON,0.624
411,13,Yes,0.621
219,12,Voluntary non-profit - Private,0.638
927,11,Acute Care Hospitals,0.599
528,9,MONTGOMERY,0.622
822,6,GADSDEN,0
503,9,CHEROKEE,0.612
711,8,36078,0
326,8,36201,0
573,10,3347561400,0.626
589,11,Acute Care Hospitals,0.612
319,13,Yes,0.621
248,10,3346366221,0.638
217,9,JEFFERSON,0.608
32,12,Government - Hospital District or Authority,0.618
472,10,3347742601,0.623
102,10,3344933541,0.597
628,1,10029,0.621
140,8,36049,0
233,8,35968,0
94,6,FLORENCE,0
691,6,BIRMINGHAM,0
934,1,10047,0.589
181,6,GUNTERSVILLE,0
778,2,HUNTSVILLE HOSPITAL,0.621
609,1,10027,0.616
816,8,35903,0
731,2,CULLMAN REGIONAL MEDICAL CENTER,0.634
696,11,Acute Care Hospitals,0.622
922,2,RIVERVIEW REGIONAL MEDICAL CENTER,0.624
711,2,COMMUNITY HOSPITAL INC,0.608
896,9,FAYETTE,0.642
667,10,2059344011,0.618
132,2,CRENSHAW COMMUNITY HOSPITAL,0.609
328,13,Yes,0.617
518,6,MONTGOMERY,0
500,8,35960,0
635,11,Acute Care Hospitals,0.571
28,12,Government - Hospital District or Authority,0.634
284,8,35007,0
160,12,Proprietary,0.597
239,12,Voluntary non-profit - Church,0.624
449,2,ALASKA REGIONAL HOSPITAL,0.628
343,10,3347935000,0.611
798,13,Yes,0.626
856,6,HAMILTON,0
878,11,Acute Care Hospitals,0.636
498,11,Acute Care Hospitals,0.624
141,7,AL,0.634
322,10,2562358900,0.655
552,9,MONTGOMERY,0.587
706,11,Acute Care Hospitals,0.605
253,9,CLARKE,0.631
57,6,BOAZ,0
137,9,CRENSHAW,0.617
799,9,MADISON,0.639
254,1,10015,0.627
294,11,Acute Care Hospitals,0.628
52,13,Yes,0.663
222,9,DE KALB,0.59
588,13,Yes,0.638
73,9,LAUDERDALE,0.626
512,11,Acute Care Hospitals,0.623
291,8,35007,0
655,2,WEDOWEE HOSPITAL,0.625
452,3,2801 DEBARR ROAD,0.604
730,11,Acute Care Hospitals,0.644
573,7,AL,0.593
867,13,Yes,0.606
537,13,Yes,0.615
23,12,Government - Hospital District or Authority,0.624
27,2,SOUTHEAST ALABAMA MEDICAL CENTER,0.649
454,11,Acute Care Hospitals,0.617
563,10,3342938000,0.583
967,9,COFFEE,0.61
602,6,ELBA,0
939,2,GEORGIANA HOSPITAL,0.634
579,6,VALLEY,0
44,13,Yes,0.613
484,7,AL,0.623
361,1,10086,0.609
699,9,ELMORE,0.623
885,7,AL,0.616
491,8,36360,0
786,9,MADISON,0.629
917,10,2565435200,0.604
494,11,Acute Care Hospitals,0.629
94,8,35631,0
245,1,10015,0.613
218,10,2058383122,0.624
879,1,10045,0.627
781,1,10039,0.601
150,8,35640,0
693,9,ELMORE,0.616
262,10,3346366221,0.632
376,8,35594,0
869,12,Voluntary non-profit - Private,0.618
99,11,Acute Care Hospitals,0.61
950,11,Acute Care Hospitals,0.616
757,6,ANDALUSIA,0
766,2,ANDALUSIA REGIONAL HOSPITAL,0.582
896,6,FAYETTE,0
367,8,35594,0
920,13,Yes,0.619
158,13,Yes,0.628
375,13,Yes,0.617
165,12,Proprietary,0.626
950,6,GEORGIANA,0
505,7,AL,0.626
961,6,ENTERPRISE,0
765,7,AL,0.625
904,2,RIVERVIEW REGIONAL MEDICAL CENTER,0.621
183,7,AL,0.615
82,1,10006,0.63
580,13,Yes,0.622
698,2,COMMUNITY HOSPITAL INC,0.622
856,10,2059216200,0.632
923,2,RIVERVIEW REGIONAL MEDICAL CENTER,0.614
281,11,Acute Care Hospitals,0.638
68,9,MARSHALL,0.635
514,9,CHEROKEE,0.666
714,10,3342836541,0.618
849,11,Acute Care Hospitals,0.609
792,7,AL,0.616
357,7,AL,0.656
47,7,AL,0.6
475,6,OZARK,0
922,13,Yes,0.617
656,1,10032,0.619
429,8,35150,0
764,10,3342228466,0.633
267,11,Acute Care Hospitals,0.632
450,12,Proprietary,0.607
527,12,Voluntary non-profit - Church,0.626
158,8,35640,0
387,7,AL,0.613
847,12,Voluntary non-profit - Private,0.626
629,13,Yes,0.614
541,9,MONTGOMERY,0.629
158,12,Proprietary,0.61
988,2,ST VINCENTS BLOUNT,0.61
222,12,Voluntary non-profit - Church,0.654
549,10,3342938000,0.61
486,6,OZARK,0
37,10,3347938701,0.625
458,9,JEFFERSON,0.594
4,6,BIRMINGHAM,0
963,2,MEDICAL CENTER ENTERPRISE,0.613
43,7,AL,0.616
138,8,36049,0
214,1,10011,0.603
560,1,10024,0.641
593,7,AL,0.617
561,2,JACKSON HOSPITAL & CLINIC INC,0.609
705,1,10034,0.648
45,8,35957,0
248,12,Government - Federal,0.634
120,7,AL,0.603
889,1,10045,0.615
78,9,LAUDERDALE,0.616
224,9,DE KALB,0.625
403,7,AL,0.624
478,7,AL,0.635
228,9,DE KALB,0.622
783,11,Acute Care Hospitals,0.623
166,7,AL,0.623
325,9,CALHOUN,0.624
759,2,ANDALUSIA REGIONAL HOSPITAL,0.618
860,1,10044,0.62
213,6,BIRMINGHAM,0
51,7,AL,0.614
634,9,LEE,0.625
565,13,Yes,0.627
46,1,10005,0.612
314,12,Proprietary,0.61
675,13,Yes,0.652
66,10,2565938310,0.623
686,8,35233,0
697,6,TALLASSEE,0
239,9,DE KALB,0.612
268,8,36784,0
654,13,No,0.591
722,1,10035,0.62
419,13,No,0.631
466,9,JEFFERSON,0.612
217,12,Voluntary non-profit - Private,0.618
924,8,35901,0
14,1,10019,0.634
603,9,COFFEE,0.61
229,7,AL,0.614
752,10,3342228466,0.64
43,12,Government - Hospital District or Authority,0.612
99,7,AL,0.616
200,11,Acute Care Hospitals,0.646
655,6,WEDOWEE,0
333,13,Yes,0.62
214,11,Acute Care Hospitals,0.652
680,8,35233,0
341,8,36305,0
646,1,10032,0.601
114,12,Voluntary non-profit - Private,0.597
560,7,AL,0.624
357,12,Proprietary,0.611
244,2,DEKALB REGIONAL MEDICAL CENTER,0.631
887,7,AL,0.614
790,1,10039,0.647
731,9,CULLMAN,0.645
918,9,ETOWAH,0.637
438,6,ANCHORAGE,0
312,6,ANNISTON,0
494,12,Voluntary non-profit - Private,0.605
745,12,Proprietary,0.624
890,13,Yes,0.629
723,9,CULLMAN,0.631
313,9,CALHOUN,0.644
163,12,Proprietary,0.618
229,6,FORT PAYNE,0
