ind,attr,val,expectation
629,13,Yes,0.671
457,9,JEFFERSON,0.667
382,10,2514717110,0.665
731,9,CULLMAN,0.661
507,17,Empty,0.66
32,12,Government - Hospital District or Authority,0.659
322,10,2562358900,0.653
696,11,Acute Care Hospitals,0.653
313,9,CALHOUN,0.651
390,13,Yes,0.651
468,14,Surgical Infection Prevention,0.651
890,13,Yes,0.65
973,18,0 patients,0.65
766,2,ANDALUSIA REGIONAL HOSPITAL,0.649
580,13,Yes,0.648
240,14,Surgical Infection Prevention,0.648
458,9,JEFFERSON,0.648
852,14,Surgical Infection Prevention,0.647
517,10,3342882100,0.647
977,11,Acute Care Hospitals,0.646
867,13,Yes,0.645
560,1,10024,0.644
47,7,AL,0.644
254,1,10015,0.643
846,18,0 patients,0.643
257,17,Empty,0.643
229,10,2568453150,0.643
214,1,10011,0.643
503,9,CHEROKEE,0.643
280,14,Pneumonia,0.643
560,7,AL,0.643
14,1,10019,0.642
734,14,Heart Attack,0.642
238,17,100%,0.641
712,17,100%,0.641
172,2,MARSHALL MEDICAL CENTER NORTH,0.641
562,10,3342938000,0.641
667,10,2059344011,0.64
200,11,Acute Care Hospitals,0.64
239,9,DE KALB,0.64
414,11,Acute Care Hospitals,0.64
337,17,100%,0.639
498,11,Acute Care Hospitals,0.639
680,14,Heart Attack,0.639
222,12,Voluntary non-profit - Church,0.639
226,14,Heart Attack,0.639
325,9,CALHOUN,0.639
27,2,SOUTHEAST ALABAMA MEDICAL CENTER,0.639
927,11,Acute Care Hospitals,0.638
866,10,2059216200,0.637
799,9,MADISON,0.637
224,9,DE KALB,0.637
696,14,Heart Attack,0.637
713,14,Surgical Infection Prevention,0.637
411,13,Yes,0.637
527,12,Voluntary non-profit - Church,0.636
248,10,3346366221,0.636
343,10,3347935000,0.636
950,11,Acute Care Hospitals,0.636
512,11,Acute Care Hospitals,0.636
217,9,JEFFERSON,0.636
160,12,Proprietary,0.636
922,13,Yes,0.635
74,14,Surgical Infection Prevention,0.635
503,18,0 patients,0.635
347,9,HOUSTON,0.635
600,14,Heart Attack,0.635
493,13,Yes,0.635
753,9,COVINGTON,0.635
889,1,10045,0.634
714,10,3342836541,0.634
414,18,125 patients,0.634
134,18,0 patients,0.634
350,15,AMI-5,0.634
923,2,RIVERVIEW REGIONAL MEDICAL CENTER,0.634
294,11,Acute Care Hospitals,0.633
825,10,2564944000,0.633
159,17,100%,0.633
507,14,Surgical Infection Prevention,0.633
454,11,Acute Care Hospitals,0.633
849,11,Acute Care Hospitals,0.633
765,7,AL,0.633
218,10,2058383122,0.633
722,1,10035,0.633
885,7,AL,0.632
556,14,Pneumonia,0.632
158,12,Proprietary,0.632
497,18,0 patients,0.632
632,14,Heart Attack,0.632
533,2,BAPTIST MEDICAL CENTER SOUTH,0.632
922,2,RIVERVIEW REGIONAL MEDICAL CENTER,0.631
409,1,10108,0.631
385,10,2514717110,0.631
654,13,No,0.631
725,1,10035,0.631
730,11,Acute Care Hospitals,0.63
515,17,100%,0.63
121,17,100%,0.63
141,7,AL,0.63
23,12,Government - Hospital District or Authority,0.63
918,9,ETOWAH,0.63
956,14,Heart Attack,0.63
25,13,Yes,0.629
229,7,AL,0.629
279,7,AL,0.629
