ind,attr,val,expectation
861,17,90%,0.683
542,16,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,0.679
167,18,10 patients,0.669
653,3,209 NORTH MAIN STREET,0.669
580,13,Yes,0.668
374,19,AL_PN-6,0.667
556,19,AL_AMI-3,0.666
496,15,PN-3B,0.666
764,16,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,0.665
623,19,AL_HF-4,0.665
146,16,Heart Attack Patients Given Smoking Cessation Advice/Counseling,0.664
66,10,2565938310,0.664
589,18,75 patients,0.663
464,16,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,0.663
416,3,987 DRAYTON STREET,0.663
291,16,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0.662
921,19,AL_SCIP-INF-3,0.662
472,10,3347742601,0.662
432,3,1256 MILITARY STREET SOUTH,0.662
589,16,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),0.662
58,3,2505 U S HIGHWAY 431 NORTH,0.661
737,3,1000 FIRST STREET NORTH,0.661
348,19,AL_PN-4,0.661
736,15,SCIP-VTE-1,0.661
348,19,AL_PN-5C,0.661
647,19,AL_AMI-4,0.66
568,19,AL_AMI-8A,0.66
121,15,SCIP-INF-1,0.66
935,3,702 N MAIN ST,0.659
946,3,4800 48TH ST,0.659
211,16,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0.659
916,3,124 S MEMORIAL DR,0.659
508,16,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,0.659
351,3,1720 UNIVERSITY BLVD,0.659
448,16,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),0.659
707,16,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,0.659
679,19,AL_PN-5C,0.659
928,16,Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma,0.659
692,15,PN-6,0.658
427,17,Empty,0.658
253,17,Empty,0.658
761,19,AL_SCIP-INF-4,0.658
649,15,SCIP-INF-3,0.658
772,16,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),0.658
975,14,Heart Attack,0.658
770,17,0%,0.658
680,14,Surgical Infection Prevention,0.658
730,15,AMI-8A,0.657
920,13,Yes,0.657
717,14,Heart Failure,0.657
494,16,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0.657
95,3,124 S MEMORIAL DR,0.657
695,15,AMI-7A,0.657
664,16,surgery patients who were given the  right kind  of antibiotic to help prevent infection,0.657
99,11,Acute Care Hospitals,0.657
777,18,511 patients,0.657
70,19,AL_PN-7,0.657
768,3,8000 ALABAMA HIGHWAY 69,0.657
922,2,RIVERVIEW REGIONAL MEDICAL CENTER,0.657
162,3,4370 WEST MAIN STREET,0.656
371,19,AL_SCIP-INF-3,0.656
739,16,Pneumonia Patients Given Smoking Cessation Advice/Counseling,0.656
239,9,DE KALB,0.656
673,16,Pneumonia Patients Assessed and Given Influenza Vaccination,0.656
846,18,16 patients,0.656
674,15,HF-3,0.656
957,3,987 DRAYTON STREET,0.656
162,3,2505 U S HIGHWAY 431 NORTH,0.656
957,3,4370 WEST MAIN STREET,0.656
371,19,AL_PN-6,0.656
669,18,324 patients,0.655
858,3,849 SOUTH THREE NOTCH STREET,0.655
714,16,Heart Attack Patients Given Aspirin at Arrival,0.655
42,16,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,0.655
843,15,HF-2,0.655
581,15,SCIP-VTE-2,0.655
850,3,315 W HICKORY ST,0.655
142,16,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,0.655
235,18,56 patients,0.655
786,16,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,0.655
