1	1	10018
1	2	CALLAHAN EYE FOUNDATION HOSPITAL
1	3	1720 UNIVERSITY BLVD
1	4	Empty
1	5	Empty
1	6	BIRMINGHAM
1	7	AL
1	8	35233
1	9	JEFFERSON
1	10	2053258100
1	11	Acute Care Hospitals
1	12	Voluntary non-profit - Private
1	13	Yes
1	14	Surgical Infection Prevention
1	15	SCIP-CARD-2
1	16	surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery
1	17	Empty
1	18	Empty
1	19	AL_SCIP-CARD-2
2	1	10018
2	2	CALLAHAN EYE FOUNDATION HOSPITAL
2	3	1720 UNIVERSITY BLVD
2	4	Empty
2	5	Empty
2	6	BIRMINGHAM
2	7	AL
2	8	35233
2	9	JEFFERSON
2	10	2053258100
2	11	Acute Care Hospitals
2	12	Voluntary non-profit - Private
2	13	Yes
2	14	Surgical Infection Prevention
2	15	SCIP-INF-1
2	16	surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
2	17	Empty
2	18	Empty
2	19	AL_SCIP-INF-1
3	1	10018
3	2	CALLAHAN EYE FOUNDATION HOSPITAL
3	3	1720 UNIVERSITY BLVD
3	4	Empty
3	5	Empty
3	6	BIRMINGHAM
3	7	AL
3	8	35233
3	9	JEFFERSON
3	10	2053258100
3	11	Acute Care Hospitals
3	12	Voluntary non-profit - Private
3	13	Yes
3	14	Surgical Infection Prevention
3	15	SCIP-INF-2
3	16	surgery patients who were given the  right kind  of antibiotic to help prevent infection
3	17	Empty
3	18	Empty
3	19	AL_SCIP-INF-2
4	1	10018
4	2	CALLAHAN EYE FOUNDATION HOSPITAL
4	3	1720 UNIVERSITY BLVD
4	4	Empty
4	5	Empty
4	6	BIRMINGHxM
4	7	AL
4	8	35233
4	9	JEFFERSON
4	10	2053258100
4	11	Acute Care Hospitals
4	12	Voluntary non-profit - Private
4	13	Yes
4	14	Surgical Infection Prevention
4	15	SCIP-INF-3
4	16	surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
4	17	Empty
4	18	Empty
4	19	AL_SCIP-INF-3
5	1	10018
5	2	CALLAHAN EYE FOUNDATION HOSPITAL
5	3	1720 UNIVERSITY BLVD
5	4	Empty
5	5	Empty
5	6	BIRMINGHAM
5	7	AL
5	8	35233
5	9	JEFFERSON
5	10	2053258100
5	11	Acute Care Hospitals
5	12	Voluntary non-profit - Private
5	13	Yes
5	14	Surgical Infection Prevention
5	15	SCIP-INF-4
5	16	all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
5	17	Empty
5	18	Empty
5	19	AL_SCIP-INF-4
6	1	10018
6	2	CALLAHAN EYE FOUNDATION HOSPITAL
6	3	1720 UNIVERSITY BLVD
6	4	Empty
6	5	Empty
6	6	BIRMINGHAM
6	7	AL
6	8	35233
6	9	JEFFERSON
6	10	2053258100
6	11	Acute Care Hospitals
6	12	Voluntary non-profit - Private
6	13	Yes
6	14	Surgical Infection Prevention
6	15	SCIP-INF-6
6	16	surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream C not a razor)
6	17	Empty
6	18	Empty
6	19	AL_SCIP-INF-6
7	1	10018
7	2	CALLAHAN EYE FOUNDATION HOSPITAL
7	3	1720 UNIVERSITY BLVD
7	4	Empty
7	5	Empty
7	6	BIRMINGHAM
7	7	AL
7	8	35233
7	9	JEFFERSON
7	10	2053258100
7	11	Acute Care Hospitals
7	12	Voluntary non-profit - Private
7	13	Yes
7	14	Surgical Infection Prevention
7	15	SCIP-VTE-1
7	16	surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
7	17	Empty
7	18	Empty
7	19	AL_SCIP-VTE-1
8	1	10018
8	2	CALLAHAN EYE FOUNDATION HOSPITAL
8	3	1720 UNIVERSITY BLVD
8	4	Empty
8	5	Empty
8	6	BIRMINGxAM
8	7	AL
8	8	35233
8	9	JEFFERSON
8	10	2053258100
8	11	Acute Care Hospitals
8	12	Voluntary non-profit - Private
8	13	Yes
8	14	Surgical Infection Prevention
8	15	SCIP-VTE-2
8	16	patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
8	17	Empty
8	18	Empty
8	19	AL_SCIP-VTE-2
9	1	10019
9	2	HELEN KELLER MEMORIAL HOSPITAL
9	3	1300 SOUTH MONTGOMERY AVENUE
9	4	Empty
9	5	Empty
9	6	SHEFFIELD
9	7	AL
9	8	35660
9	9	JEFFERSON
9	10	2563864556
9	11	Acute Care Hospitals
9	12	Government - Hospital District or Authority
9	13	Yes
9	14	Heart Attack
9	15	AMI-1
9	16	Heart Attack Patients Given Aspirin at Arrival
9	17	97%
9	18	33 patients
9	19	AL_AMI-1
10	1	10019
10	2	HELEN KELLER MEMORIAL HOSPITAL
10	3	1300 SOUTH MONTGOMERY AVENUE
10	4	Empty
10	5	Empty
10	6	SHEFFIELD
10	7	AL
10	8	35660
10	9	JEFFERSON
10	10	2563864556
10	11	Acute Care Hospitals
10	12	Government - Hospital District or Authority
10	13	Yes
10	14	Heart Attack
10	15	AMI-2
10	16	Heart Attack Patients Given Aspirin at Discharge
10	17	92%
10	18	13 patients
10	19	AL_AMI-2
11	1	10019
11	2	HELEN KELLER MEMORIAL HOSPITAL
11	3	1300 SOUTH MONTGOMERY AVENUE
11	4	Empty
11	5	Empty
11	6	SHEFFxELD
11	7	AL
11	8	35660
11	9	JEFFERSON
11	10	2563864556
11	11	Acute Care Hospitals
11	12	Government - Hospital District or Authority
11	13	Yes
11	14	Heart Attack
11	15	AMI-3
11	16	Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
11	17	75%
11	18	4 patients
11	19	AL_AMI-3
12	1	10019
12	2	HELEN KELLER MEMORIAL HOSPITAL
12	3	1300 SOUTH MONTGOMERY AVENUE
12	4	Empty
12	5	Empty
12	6	SHEFFIELD
12	7	AL
12	8	35660
12	9	JEFFERSON
12	10	2563864556
12	11	Acute Care Hospitals
12	12	Government - Hospital District or Authority
12	13	Yes
12	14	Heart Attack
12	15	AMI-4
12	16	Heart Attack Patients Given Smoking Cessation Advice/Counseling
12	17	100%
12	18	4 patients
12	19	AL_AMI-4
13	1	10019
13	2	HELEN KELLER MEMORIAL HOSPITAL
13	3	1300 SOUTH MONTGOMERY AVENUE
13	4	Empty
13	5	Empty
13	6	SHEFFIELD
13	7	AL
13	8	35660
13	9	JEFFERSON
13	10	2563864556
13	11	Acute Care Hospitals
13	12	Government - Hospital District or Authority
13	13	Yes
13	14	Heart Attack
13	15	AMI-5
13	16	Heart Attack Patients Given Beta Blocker at Discharge
13	17	86%
13	18	14 patients
13	19	AL_AMI-5
14	1	1xx19
14	2	HELEN KELLER MEMORIAL HOSPITAL
14	3	1300 SOUTH MONTGOMERY AVENUE
14	4	Empty
14	5	Empty
14	6	SHEFFIELD
14	7	AL
14	8	35660
14	9	JEFFERSON
14	10	2563864556
14	11	Acute Care Hospitals
14	12	Government - Hospital District or Authority
14	13	Yes
14	14	Heart Attack
14	15	AMI-7A
14	16	Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
14	17	Empty
14	18	0 patients
14	19	AL_AMI-7A
15	1	10019
15	2	HELEN KELLER MEMORIAL HOSPITAL
15	3	1300 SOUTH MONTGOMERY AVENUE
15	4	Empty
15	5	Empty
15	6	SHEFFIELD
15	7	AL
15	8	35660
15	9	JEFFERSON
15	10	2563864556
15	11	Acute Care Hospitals
15	12	Government - Hospital District or Authority
15	13	Yes
15	14	Heart Attack
15	15	AMI-8A
15	16	Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
15	17	Empty
15	18	0 patients
15	19	AL_AMI-8A
16	1	10019
16	2	HELEN KELLER MEMORIAL HOSPITAL
16	3	1300 SOUTH MONTGOMERY AVENUE
16	4	Empty
16	5	Empty
16	6	SHEFFIELD
16	7	AL
16	8	35660
16	9	JEFFERSON
16	10	2563864556
16	11	Acute Care Hospitals
16	12	Government - Hospital District or Authority
16	13	Yes
16	14	Heart Failure
16	15	HF-1
16	16	Heart Failure Patients Given Discharge Instructions
16	17	80%
16	18	114 patients
16	19	AL_HF-1
17	1	10019
17	2	HELEN KELLER MEMORIAL HOSPITAL
